ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
1;1;ACCESSOIRE POUR IPHONE 3/4/4S (CHARGEUR+ECOUTEUR+CABLE…);; 17 980    ;;;;;;;;RP-demo_1;RF-demo_1;Applestore;Apple;1234567890123;;1;0.6;0.2;0.4;0.068357;160;1;;;;;<p>New design.</p>;<p>New design.</p>;apple, ipod, nano;Meta title-Nano;Meta keywords-Nano;Meta description-Nano;iPod-Nano;In Stock;Current supply. Ordering availlable;1;2013-03-01;2013-01-01;1;;;0;;0;new;0;0;0;0;0;0;0;0
2;1;ACCESSOIRE POUR IPHONE 5/5S/6/6S (CHARGEUR+ECOUTEUR+CABLE…);; 17 980    ;;;;;;;;RP-demo_2;RF-demo_2;Applestore;Apple;1234567890123;;1;0.1;0.1;0.1;0.027563;120;1;both;;;;<p>New design.</p>;<p>New design.</p>;ipod, shuffle;Meta title-Shuffle;Meta keywords-Shuffle;Meta description-Shuffle;iPod-shuffle;In Stock;Current supply. Ordering availlable;1;2013-03-01;2013-01-02;1;;;0;;0;new;0;0;0;0;0;0;0;0
3;1;ADAPTATEUR IPHONE4 A IPHONE5 (PEUT CONNECTER CABLE IPHONE4 SUR IPHONE5);; 3 400    ;;;;;;;;RP-demo_3;RF-demo_3;Applestore;Apple;1234567890123;;2;1.31;0.3;1;2.976846;400;1;catalog;;;;<p>New design.</p>;<p>New design.</p>;MacBook, Air;Meta title-McBookAir;Meta keywords-McBookAir;Meta description-McBookAir;MacBook-Air;In Stock;Current supply. Ordering availlable;1;2013-03-01;2013-01-03;1;;;1;;0;new;0;0;0;0;0;0;0;0
4;1;ADAPTATEUR CHARGEUR POUR CONSOLE DE JEU WII;; 134 610    ;;;;;;;;RP-demo_4;RF-demo_4;Applestore;Apple;1234567890123;;2;1.31;0.3;1;4.454244;75;1;search;;;;<p>New design.</p>;<p>New design.</p>;MacBook, Pro;Meta title-McBookPro;Meta keywords-McBookPro;Meta description-McBookPro;MacBook;In Stock;Current supply. Ordering availlable;1;2013-03-01;2013-01-04;1;;;1;;0;new;0;0;0;0;0;0;0;0
5;1;ADAPTATEUR R4 SILVER POUR DSI/DSXL/DS3D... ;; 25 910    ;;;;;;;;RP-demo_5;RF-demo_5;Applestore;Apple;1234567890123;;1;0.6;0.2;0.4;0.194046;120;1;none;;;;<p>New design.</p>;<p>New design.</p>;Ipod touch;Meta title-IpodTouch;Meta keywords-IpodTouch;Meta description-IpodTouch;iPod-touch;In Stock;Current supply. Ordering availlable;1;2013-03-01;2013-01-05;1;;;0;;1;used;0;0;0;0;0;0;0;0
6;1;AUTOCOLLANT DESIGN POUR METTRE SUR BOUTON CENTRALE DE L'IPHONE;; 1 000    ;;;;;;;;RP-demo_6;RF-demo_6;Nippon Electronic Import;Belkin;1234567890123;;0;0.6;0.2;0.4;0.038588;25;1;;20;;;<p>New design.</p>;<p>New design.</p>;Folio, leather;Meta title-BelkinLeatherFolio;Meta keywords-BelkinLeatherFolio;Meta description-BelkinLeatherFolio;Belkin-Leather-Folio-for-iPod-nano---Black-Chocolate;In Stock;Current supply. Ordering availlable;1;2013-03-01;2013-01-06;1;;;0;;1;refurbished;0;0;0;0;0;0;0;0
7;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S2 I9100;; 30 920    ;;;;;;;;RP-demo_7;RF-demo_7;Shure Online Store;Shure;1234567890123;;0;0.1;0.1;0.1;0.040793;15;1;;;;;<p>New design.</p>;<p>New design.</p>;Headphones;Meta title-ShureEarphones;Meta keywords-ShureEarphones;Meta description-ShureEarphones;Shure-SE210-Sound-Isolating-Earphones-for-iPod-and-iPhone;In Stock;Current supply. Ordering availlable;1;2013-03-01;2013-01-07;1;;;0;;1;new;0;0;0;0;0;0;0;0
8;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S3MINI I8190/8160;; 35 730    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S4 I9500;; 54 450    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY S5 G9006V;; 53 000    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY MEGA I9150 ;; 58 530    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 2 N7100;; 60 160    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 3 N9000;; 58 530    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;BATTERIE ORIGINALE PISEN POUR SAMSUNG GALAXY NOTE 4 N9100;; 60 120    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;BATTERIE RECHARGEABLE POUR CONSOLE NINTENDO GAMEBOY ;; 10 210    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;CABLE 4TÊTES LDNIO MOD.LC85 (1*LIGHTING/2*MICRO USB/1*USB);Cables; 12 930    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;CABLE DUAL LDNIO MOD.LC84 (MICRO USB + LIGHTNING) QUICK CHARGE&DATA ;Cables; 7 500    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;CABLE MICRO USB A USB (MODELE SAMSUNG...);Cables; 4 120    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;CABLE MICRO USB A USB LDNIO MOD.LS11 1METRE QUICK CHARGE&DATA;Cables; 6 400    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;CABLE MICRO USB A USB LDNIO MOD.LS02 ROND 2METRES QUICK CHARGE&DATA;Cables; 10 780    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;CABLE MICRO USB A USB LDNIO MOD.LS01 PLAT 2METRES QUICK CHARGE&DATA ;Cables; 12 460    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;CABLE MICRO USB A USB FEMELLE INFOPRO;Cables; 4 150    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;CABLE IPHONE 3/4/4S AVEC BOITE (MODEL ORIGINAL);; 5 040    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;1;CABLE IPHONE LIGHTNING  AVEC BOITE (MODEL ORIGINAL);; 5 200    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;1;CABLE IPHONE LIGHTNING PISEN FLAT DIFF. COULEUR ;; 15 490    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;1;CABLE IPHONE LIGHTNING LDNIO MOD.LS11 1METRE QUICK CHARGE&DATA;; 7 400    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;1;CABLE IPHONE LIGHTNING LDNIO MOD.LS02 ROND 2METRES QUICK CHARGE&DATA;; 11 950    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;1;CABLE IPHONE LIGHTNING LDNIO MOD.LS01 PLAT 2METRES  QUICK CHARGE&DATA;; 13 630    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;1;CABLE ORIGINAL APPLE LIGHTING POUR IPHONE7/IPAD.. ;; 57 910    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;1;CABLE POUR MANETTE SANS FIL XBOX;; 18 950    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;1;CABLE SAMSUNG TAB A USB FEMELLE INFOPRO;; 5 940    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;1;CABLE USB POUR CONNECTER TABLETTE SAMSUNG;; 6 290    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;1;CABLE USB RETRACTABLE AVEC 4 SORTIES (USB 3.0/IPHONE LIGHTNING/MICRO USB/IPHONE 4);; 10 210    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;1;CABLE USB RETRACTABLE AVEC SORTIE IPHONE5 ET MICRO USB POUR TEL/TABLETTE ;; 8 230    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;1;CABLE POUR CONNECTER CONSOLE XBOX A LA TV (AV);; 26 400    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1;CABLE POUR CONNECTER CONSOLE WII A LA TV;; 21 340    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX;; 15 720    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;1;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX (AVEC BATTERIE);; 23 450    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;1;CHARGEUR POUR CONSOLE SONY PSP;; 10 980    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1;CHARGEUR POUR CONSOLE NINTENDO DSXL/DS3D/DS3DXL;; 10 060    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1;CHARGEUR ALLUME CIGARE LDNIO MOD.DL-C12 2.1A A/CABLE MICRO USB ;; 9 440    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1;CHARGEUR ALLUME CIGARE LDNIO MOD.DL-C22 2PORTS 2.1A A/CABLE MICRO USB;; 13 820    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1;CHARGEUR ALLUME CIGARE LDNIO MOD.DL-C29 2PORTS 3,4A A/CABLE MICRO USB ;; 16 220    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1;CHARGEUR POUR BATTERIE TELEPHONE PISEN HXL MOD.TS-UC029;; 21 440    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1;CHARGEUR SECTEUR USB 1A MOD. IPHONE COMPAT. TEL ET TABLETTE… ;; 8 640    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1;CHARGEUR SECTEUR USB 2A MOD.SAMSUNG COMPAT. TEL ET TABLETTE… ;; 8 800    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1;CHARGEUR SECTEUR USB 2A MOD.SAMSUNG CHARGE RAPIDE COMPAT. TEL ET TABLETTE… ;; 17 380    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;1;CHARGEUR SECTEUR USB LDNIO MOD.DL-A2202 2PORTS 2,4A ;; 14 420    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1;CHARGEUR SECTEUR USB LDNIO MOD.DL-AC59 2PORTS 2.4A ;; 14 660    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1;CHARGEUR SECTEUR USB LDNIO MOD.DL-A3301 3PORTS 3,1A ;; 18 020    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;1;CHARGEUR SECTEUR USB LDNIO MOD.DL-A4403 4PORTS 4,4A ;; 23 440    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;1;CHARGEUR SECTEUR USB ET CABLE ORIGINAL SAMSUNG FAST CHARGE NEWCHARGEUR SECTEUR USB ET CABLE ORIGINAL SAMSUNG FAST CHARGE NEW;; 53 030    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;1;CHARGEUR SECTEUR USB ORIGINAL APPLE POUR IPAD ;; 49 380    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1;CHARGEUR SECTEUR USB ORIGINAL APPLE POUR IPHONE ;; 45 720    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;1;CHARGEUR SANS FIL MODELE SAMSUNG;; 23 230    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;1;"CLAVIER POUR TABLETTE 9,7"" LEATHER INTEX MOD.IT-MID KB970";; 49 260    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;1;COMBINE TELEPHONIQUE IPEGA POUR SAMSUNG/IPHONE/IPAD... ANTI RADIATION;; 31 500    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;1;CONSOLE DE JEUX PVP2 CRASH9 AVEC 888888 JEUX ;; 81 480    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;1;CONSOLE DE JEUX PSP GAME AVEC CAMERA/MP3 PLAYER/SLOT MICRO SD…;; 122 670    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;1;CONSOLE DE JEUX NINTENDO DSICONSOLE DE JEUX NINTENDO DSI;; 183 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;1;CONSOLE DE JEUX SONY PLAYSTATION PORTABLE/PSP MULTI SYSTEM;; 192 000    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;1;CONSOLE DE JEUX NINTENDO DSI XL;; 245 330    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;1;CONSOLE DE JEUX NINTENDO 3DS XL;; 604 500    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;1;CONSOLE DE JEUX SONY PLAYSTATION 2 MULTI SYSTEM;; 335 990    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;1;CONSOLE DE JEUX SONY PLAYSTATION 3 320GB MULTI SYSTEM;; 825 980    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;1;CONSOLE DE JEUX SONY PLAYSTATION 4 500GB NEW;; 1 184 840    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;1;COQUE BASEUS FAITH LEATHER CASE POUR IPAD AIR BLEU MOD.LTAPIPAD5-XY03;; 39 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;1;COQUE BASEUS FAITH LEATHER CASE POUR IPAD AIR JAUNE MOD.LTAPIPAD5-XY0Y;; 39 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;1;COQUE BASEUS FAITH LEATHER CASE POUR IPAD AIR KHAKI MOD.LTAPIPAD5-XY11;; 39 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;1;COQUE BASEUS FAITH LEATHER CASE POUR IPAD AIR NOIR MOD.LTAPIPAD5-XY12;; 39 750    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;1;COQUE BASEUS IREVO CASE POUR IPAD MINI/RETINA NOIR/GRIS MOD.LTAPMINI2-SN1G;; 30 700    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C BLANC MOD.LTAPIH5C-MC02;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C BLEU MOD.LTAPIH5C-MC03;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C JAUNE MOD.LTAPIH5C-MC0Y;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C NOIR MOD.LTAPIH5C-MC01;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C ORANGE MOD.LTAPIH5C-MC07;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;1;COQUE BASEUS MAGICAL CASE 2.0 POUR IPHONE5C ROSE MOD.LTAPIH5C-MC04;; 13 900    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C BLANC MOD.LTAPIHMINI-RW02;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C BLEU MOD.LTAPIHMINI-RW03;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C NOIR MOD.LTAPIHMINI-RW01;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C ORANGE MOD.LTAPIHMINI-RW07;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C ROUGE MOD.LTAPIHMINI-RW09;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;1;COQUE BASEUS RAINBOW CASE POUR IPHONE5C VERT MOD.LTAPIHMINI-RW06;; 6 600    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;1;COQUE BASEUS FOLIO SUPPORTING CASE POUR IPHONE5C NOIR MOD.LTAPIHMINI-SL01;; 8 650    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;1;COQUE BASEUS FOLIO SUPPORTING CASE POUR IPHONE5C BLANC MOD.LTAPIHMINI-SL02;; 8 650    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
